testDataTimeStamps,i,a,list_predict_future,list_actual_future,list_loss_future,list_loss_past
2020-04-07,1,1,5.172555794510883,5.0,1.0239659143912603,0.1708674373096607
2020-04-07,1,2,5.858788061893754,5.0,1.1501901198788391,0.12189726321040836
2020-04-07,1,3,6.215340996449053,5.0,1.2190186250603507,0.11844636887257427
2020-04-07,1,4,6.214512622548902,5.0,1.2145126225489018,0.13573880656438014
2020-04-07,1,5,5.248940444862214,5.0,0.8992746222198371,0.19266643685918913
2020-04-07,1,6,4.916407920848146,5.0,1.131231556403366,0.13749165483155007
2020-04-07,3,1,5.599796096704338,5.0,0.7706003620180988,0.10759865957087811
2020-04-07,3,2,6.345132082904141,5.0,1.535189740374439,0.2910916482555581
2020-04-07,3,3,5.888620638282426,5.0,1.5975540833421868,0.20909464301665381
2020-04-07,3,4,6.444701608547005,5.0,1.5719370721287083,0.23485550904920666
2020-04-07,3,5,6.165125633147719,5.0,1.1869830565986854,0.10158497681820464
2020-04-07,3,6,6.4392544020044475,5.0,1.4392544020044484,0.12245765162946579
2020-04-07,5,1,6.794786290069753,5.0,1.794786290069755,0.1549087432593414
2020-04-07,5,2,5.30350482842845,5.0,1.2836970881141254,0.14448677088233364
2020-04-07,5,3,5.760773943092987,5.0,0.9473111606656224,0.14101232511981576
2020-04-07,5,4,5.617962250548513,5.0,1.4196077616580993,0.1560710540173944
2020-04-07,5,5,5.883543827615604,5.0,1.1532318258028942,0.10139863735997579
2020-04-07,5,6,6.022836076395784,5.0,1.1126332747422116,0.1314470262113393
2020-04-07,7,1,5.727249192316684,5.0,0.9505540279048026,0.13255797887504198
2020-04-07,7,2,5.871984660800427,5.0,1.027075917349778,0.10772817048040012
2020-04-07,7,3,6.245874567286506,5.0,1.2458745672865073,0.09383314472549534
2020-04-07,7,4,6.239024245835067,5.0,1.4056712138964902,0.14595563405299336
2020-04-07,7,5,5.134263843338772,5.0,1.2730197900849607,0.1496638467784181
2020-04-07,7,6,5.702523655998656,5.0,1.1944366070574193,0.08424406399887907
2020-04-07,9,1,6.058533910811086,5.0,1.3344993595383663,0.15521176068016623
2020-04-07,9,2,6.752721303847894,5.0,2.038434675990379,0.1598368678393962
2020-04-07,9,3,5.88567875970455,5.0,0.9993837649536166,0.11993186311018861
